 Cycle    Time   Total_Ion          Fe          Cr          Ni
     0    1.00      182137        2255         286         255
     1   60.00           0           0           0           0
     2   60.00           0           0           0           0
     3   60.00           0           0           0           0
     4   60.00           0           0           0           0
     5   60.00           0           0           0           0
     6   60.00           0           0           0           0
     7   60.00           0           0           0           0
     8   60.00           0           0           0           0
     9   60.00           0           0           0           0
    10   60.00           0           0           0           0
    11   60.00           0           0           0           0
    12   60.00           0           0           0           0
    13   60.00           0           0           0           0
    14   60.00           0           0           0           0
    15   60.00           0           0           0           0
    16   60.00           0           0           0           0
    17   60.00           0           0           0           0
    18   60.00           0           0           0           0
    19   60.00           0           0           0           0
    20   60.00           0           0           0           0
    21   60.00           0           0           0           0
    22   60.00           0           0           0           0
    23   60.00           0           0           0           0
    24   60.00           0           0           0           0
    25   60.00           0           0           0           0
    26   60.00           0           0           0           0
    27   60.00           0           0           0           0
    28   60.00           0           0           0           0
    29   60.00           0           0           0           0
    30   60.00           0           0           0           0
    31   60.00           0           0           0           0
    32   60.00           0           0           0           0
    33   60.00           0           0           0           0
    34   60.00           0           0           0           0
    35   60.00           0           0           0           0
    36   60.00           0           0           0           0
    37   60.00           0           0           0           0
    38   60.00           0           0           0           0
    39   60.00           0           0           0           0
    40   60.00           0           0           0           0
    41   60.00           0           0           0           0
    42   60.00           0           0           0           0
    43   60.00           0           0           0           0
    44   60.00           0           0           0           0
    45   60.00           0           0           0           0
    46   60.00           0           0           0           0
    47   60.00           0           0           0           0
    48   60.00           0           0           0           0
    49   60.00           0           0           0           0
    50   60.00           0           0           0           0
    51   60.00           0           0           0           0
    52   60.00           0           0           0           0
    53   60.00           0           0           0           0
    54   60.00           0           0           0           0
    55   60.00           0           0           0           0
    56   60.00           0           0           0           0
    57   60.00           0           0           0           0
    58   60.00           0           0           0           0
    59   60.00           0           0           0           0
    60   60.00           0           0           0           0
    61   60.00           0           0           0           0
    62   60.00           0           0           0           0
