 Cycle    Time   Total_Ion          Cr          Ni          Fe
     0    1.00      182137         467         342        2368
     1   60.00      361929      128008        6326      121855
     2   60.00      356232      125901        6361      122749
     3   60.00      358958      126521        6709      124845
     4   60.00      359688      126521        6746      125514
     5   60.00      359764      126578        6806      126075
     6   60.00      360846      126237        6998      126835
     7   60.00      363208      126664        7163      127150
     8   60.00      364186      127244        7120      127839
     9   60.00      364885      127315        7267      127927
    10   60.00      364843      127154        7325      127645
    11   60.00      366577      127665        7320      128168
    12   60.00      365015      126640        7461      127866
    13   60.00      366144      126532        7630      128872
    14   60.00      367808      127134        7817      129685
    15   60.00      375198      128896        8066      132150
    16   60.00      375665      128883        8131      132155
    17   60.00      378500      129324        8249      133167
    18   60.00      378515      129150        8382      133516
    19   60.00      381460      130034        8512      134498
    20   60.00      383178      130366        8664      134857
    21   60.00      385454      130562        8651      135860
    22   60.00      386552      131657        8852      135407
    23   60.00      386424      130927        8959      136062
    24   60.00      385380      130746        8921      135546
    25   60.00      390462      132093        9099      137393
    26   60.00      389513      131880        9180      136928
    27   60.00      390485      132234        9098      137454
    28   60.00      391452      132669        9188      137312
    29   60.00      391036      132183        9259      137470
    30   60.00      391935      132531        9346      138128
    31   60.00      392084      132592        9200      137980
    32   60.00      392825      132770        9454      138536
    33   60.00      391303      132238        9385      138010
    34   60.00      392181      132712        9405      138392
    35   60.00      393029      132660        9408      138733
    36   60.00      394156      133222        9572      138876
    37   60.00      394209      133734        9547      138731
    38   60.00      393664      133271        9642      139011
    39   60.00      393598      133211        9606      138635
    40   60.00      393732      132798        9554      139031
    41   60.00      392714      133112        9682      138866
    42   60.00      391436      133048        9499      137803
    43   60.00      393080      133305        9641      139166
    44   60.00      393161      133623        9674      138696
    45   60.00      393519      133178        9695      139007
    46   60.00      392382      132944        9784      138166
    47   60.00      393839      133263        9693      139303
    48   60.00      393649      133148        9658      139161
    49   60.00      394259      133465        9875      139454
    50   60.00      394112      133252        9737      139561
    51   60.00      393859      133296        9743      139269
    52   60.00      393697      133412        9756      139219
    53   60.00      394672      133650        9820      139864
    54   60.00      394289      133871        9796      139736
    55   60.00      394286      133384       10012      139935
    56   60.00      393687      133053        9803      139700
    57   60.00      393127      133716        9778      139394
    58   60.00      394402      133475        9798      139900
    59   60.00      393633      132935        9974      139670
    60   60.00      394402      133597        9966      140266
    61   60.00      393703      133504       10056      139680
    62   60.00      393648      133382        9996      139669
